📺｜直播TV,#genre#
宁夏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
甘肃卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
西藏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
安多卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
新疆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
兵团卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
延边卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
内蒙古卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8

电视指南,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
风云足球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
风云剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
第一剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
怀旧剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
兵器科技,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
高尔夫网球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
央视文化精品,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
哒啵电竞,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226951/index.m3u8
哒啵赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226954/index.m3u8

CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8

陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
农林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
陕西一套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226357/1.m3u8
陕西二套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226358/1.m3u8
陕西三套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226359/1.m3u8
陕西四套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226360/1.m3u8
陕西五套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226361/1.m3u8
陕西六套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226362/1.m3u8
陕西七套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226363/1.m3u8
陕西八套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226364/1.m3u8
西安新闻综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226366/1.m3u8
西安都市,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226367/1.m3u8
西安商务资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226368/1.m3u8
西安影视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226369/1.m3u8
西安丝路,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226370/1.m3u8
西安教育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226371/index.m3u8
咸阳-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226372/index.m3u8
杨凌-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226373/index.m3u8
延安-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226374/1.m3u8
延安-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226375/1.m3u8
铜川-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226379/1.m3u8
铜川-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226380/1.m3u8
宝鸡-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226383/1.m3u8
宝鸡-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226384/1.m3u8
宁强-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226390/1.m3u8
宁强-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226389/1.m3u8
汉中-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8
汉中-3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225991/index.m3u8
佛坪-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226454/1.m3u8
镇巴-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226457/1.m3u8
略阳-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8
西乡-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226556/index.m3u8
榆林-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226377/1.m3u8
商洛-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226378/1.m3u8
渭南-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226376/1.m3u8
安康-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226385/1.m3u8

📺｜经典老歌,#genre#
月满西楼,http://song.mvbox.cn/mv/26/90509526-6.mp4
最亲的人,http://song.mvbox.cn/mv/97/90366197-1.mp4
涛声依旧,http://song.mvbox.cn/mv/07/90708407-3.mp4
祝福你亲爱的,http://song.mvbox.cn/mv/98/90579098-2.mp4
中华民谣,http://song.mvbox.cn/mv/15/90509715-6.mp4
中国人,http://song.mvbox.cn/mv/04/90505704-3.mp4
闯码头,http://song.mvbox.cn/mv/78/90973678-3.mp4
十三不亲,http://song.mvbox.cn/mv/41/90508241-2.mp4
九月九的酒,http://song.mvbox.cn/mv/83/90510883-6.mp4
九九女儿红,http://song.mvbox.cn/mv/76/90510876-6.mp4
雾里看花,http://song.mvbox.cn/mv/83/90508883-2.mp4
山不转水转,http://song.mvbox.cn/mv/41/90511541-6.mp4
不白活一回,http://song.mvbox.cn/mv/63/90510163-6.mp4
我的中国心,http://song.mvbox.cn/mv/82/90511882-7.mp4
毛阿敏-渴望,http://song.mvbox.cn/mv/53/90501453-1.mp4
霸王别姬,http://song.mvbox.cn/mv/36/90506136-3.mp4
精忠报国,http://song.mvbox.cn/mv/03/90507203-6.mp4
中国功夫,http://song.mvbox.cn/mv/07/90509707-2.mp4
江山无限,http://song.mvbox.cn/mv/54/90507154-2.mp4
爱情买卖,http://song.mvbox.cn/mv/03/90970903-6.mp4
黄梅戏,http://song.mvbox.cn/mv/37/90576737-1.mp4
偏偏喜欢你,http://song.mvbox.cn/mv/03/90521303-0.mp4
牵挂你的人是我,http://song.mvbox.cn/mv/52/90514852-7.mp4
别说我的眼泪你无所谓,http://song.mvbox.cn/mv/30/90516530-0.mp4
谢谢你的爱,http://song.mvbox.cn/mv/27/90512227-6.mp4
爱我的人和我爱的人,http://song.mvbox.cn/mv/24/90516224-2.mp4
千古绝唱,http://song.mvbox.cn/mv/03/90507903-2.mp4
风中有朵雨做的云,http://song.mvbox.cn/mv/93/90515693-4.mp4
往事,http://song.mvbox.cn/mv/26/90502326-1.mp4
向天再借五百年,http://song.mvbox.cn/mv/77/90515277-4.mp4
白狐,http://song.mvbox.cn/mv/53/90568053-3.mp4
老地方的雨,http://song.mvbox.cn/mv/68/90576568-6.mp4
新白狐,http://song.mvbox.cn/mv/41/90926841-6.mp4
藕断丝连,http://song.mvbox.cn/mv/65/90974265-7.mp4
相思的债,http://song.mvbox.cn/mv/82/90569682-7.mp4
雨一直下,http://song.mvbox.cn/mv/81/90509481-6.mp4
新鸳鸯蝴蝶梦,http://song.mvbox.cn/mv/41/90513941-4.mp4
海阔天空,http://song.mvbox.cn/mv/11/90519311-4.mp4
光辉岁月,http://song.mvbox.cn/mv/98/90519298-6.mp4
不再犹豫,http://song.mvbox.cn/mv/96/90518996-2.mp4
冷雨夜,http://song.mvbox.cn/mv/24/90518224-4.mp4
感动天感动地,http://song.mvbox.cn/mv/59/90567359-1.mp4
漂亮姑娘就要嫁人啦,http://song.mvbox.cn/mv/54/90974054-3.mp4
谁在意我流下的泪,http://song.mvbox.cn/mv/00/90970700-6.mp4
梅花三弄,http://song.mvbox.cn/mv/58/90507558-7.mp4
有没有一种思念永不疲惫,http://song.mvbox.cn/mv/10/90573810-4.mp4
卓依婷-永远是朋友,http://song.mvbox.cn/mv/59/90512459-2.mp4
腾格尔-天堂,http://song.mvbox.cn/mv/35/90502235-1.mp4
梦驼铃,http://song.mvbox.cn/mv/28/90570228-4.mp4
一剪梅,http://song.mvbox.cn/mv/84/90922084-7.mp4
迟来的爱,http://song.mvbox.cn/mv/09/90506409-3.mp4
真的好想你,http://song.mvbox.cn/mv/15/90712615-2.mp4
无所谓,http://song.mvbox.cn/mv/37/90505137-3.mp4
我的好兄弟,http://song.mvbox.cn/mv/70/90578370-2.mp4
说句心里话,http://song.mvbox.cn/mv/68/90511668-6.mp4
一二三四歌,http://song.mvbox.cn/mv/48/90512348-2.mp4
潇洒走一回,http://song.mvbox.cn/mv/91/90512191-2.mp4
曾经心痛,http://song.mvbox.cn/mv/88/90509588-2.mp4
真心真意过一生,http://song.mvbox.cn/mv/04/90515504-3.mp4
梦醒时分,http://song.mvbox.cn/mv/16/90507616-2.mp4
红尘,http://song.mvbox.cn/mv/19/90517219-2.mp4
女人花,http://song.mvbox.cn/mv/04/90504504-7.mp4
一生爱你千百回,http://song.mvbox.cn/mv/83/90515383-7.mp4
伤心太平洋,http://song.mvbox.cn/mv/63/90511563-6.mp4
天涯,http://song.mvbox.cn/mv/46/90502246-1.mp4
任贤齐-兄弟,http://song.mvbox.cn/mv/32/90502632-1.mp4
对面的女孩看过来,http://song.mvbox.cn/mv/81/90515681-4.mp4
心太软,http://song.mvbox.cn/mv/43/90505343-3.mp4
田震-执着,http://song.mvbox.cn/mv/69/90502969-5.mp4
野花,http://song.mvbox.cn/mv/18/90502718-3.mp4
干杯朋友,http://song.mvbox.cn/mv/49/90506749-4.mp4
网络情缘,http://song.mvbox.cn/mv/17/90573317-2.mp4
风雨彩虹铿锵玫瑰,http://song.mvbox.cn/mv/92/90515692-5.mp4
你把爱情给了谁,http://song.mvbox.cn/mv/16/90972516-7.mp4
窗外,http://song.mvbox.cn/mv/63/90500763-6.mp4
等你等了那么久,http://song.mvbox.cn/mv/70/90976170-6.mp4
做你的爱人,http://song.mvbox.cn/mv/90/90566490-4.mp4
相见恨晚,http://song.mvbox.cn/mv/30/90508930-3.mp4
千千阙歌,http://song.mvbox.cn/mv/91/90719791-0.mp4
飘雪,http://song.mvbox.cn/mv/41/90517441-1.mp4
千千阙歌,http://song.mvbox.cn/mv/97/90931697-6.mp4
舞女,http://song.mvbox.cn/mv/21/90502421-3.mp4
往事只能回味,http://song.mvbox.cn/mv/00/90513700-4.mp4
你的眼神,http://song.mvbox.cn/mv/59/90507759-4.mp4
读你,http://song.mvbox.cn/mv/01/90500901-3.mp4
祝你一路顺风,http://song.mvbox.cn/mv/27/90514127-3.mp4
转弯,http://song.mvbox.cn/mv/20/90503020-2.mp4
挪威的森林,http://song.mvbox.cn/mv/96/90926496-7.mp4
浪人情歌,http://song.mvbox.cn/mv/76/90507376-2.mp4
耶利亚女郎,http://song.mvbox.cn/mv/35/90512335-2.mp4
同桌的你,http://song.mvbox.cn/mv/16/90508516-2.mp4
擦干你的泪水,http://song.mvbox.cn/mv/28/90765928-0.mp4
其实我很在乎你,http://song.mvbox.cn/mv/31/90568531-4.mp4
海浪,http://song.mvbox.cn/mv/31/90501131-3.mp4
火火的姑娘,http://song.mvbox.cn/mv/55/90200555-1.mp4
又见炊烟,http://song.mvbox.cn/mv/54/90509454-6.mp4
阿杜-离别,http://song.mvbox.cn/mv/32/90501532-1.mp4
冰雨,http://song.mvbox.cn/mv/07/90500607-7.mp4
忘情水,http://song.mvbox.cn/mv/55/90504955-7.mp4
痴心绝对,http://song.mvbox.cn/mv/05/90506405-7.mp4
杨钰莹-茶山情歌,http://song.mvbox.cn/mv/62/90506362-3.mp4
心相印手牵手,http://song.mvbox.cn/mv/21/90513921-6.mp4
轻轻的告诉你,http://song.mvbox.cn/mv/00/90513500-4.mp4
我不想说,http://song.mvbox.cn/mv/69/90508669-6.mp4
陈星-流浪歌,http://song.mvbox.cn/mv/71/90504271-4.mp4
望故乡,http://song.mvbox.cn/mv/60/90504960-3.mp4
火辣辣的情歌,http://song.mvbox.cn/mv/97/90974297.mp4
套马杆,http://song.mvbox.cn/mv1/41/90279241.mp4
站在草原望北京,http://song.mvbox.cn/mv1/74/00173474.mp4
草原情哥哥,http://song.mvbox.cn/mv/54/90975854-6.mp4
单身情歌,http://song.mvbox.cn/mv/19/90506519-7.mp4
丁香花,http://song.mvbox.cn/mv/94/90503694-7.mp4
周华健-朋友,http://song.mvbox.cn/mv/95/90501795-7.mp4
花心,http://song.mvbox.cn/mv/19/90501219-3.mp4
让我欢喜让我忧,http://song.mvbox.cn/mv/94/90514894-1.mp4
风雨无阻,http://song.mvbox.cn/mv/13/90506713-1.mp4
最真的梦,http://song.mvbox.cn/mv/33/90509833-4.mp4
美酒加咖啡,http://song.mvbox.cn/mv/04/90511104-2.mp4
甜蜜蜜,http://song.mvbox.cn/mv/05/90504905-3.mp4
小城故事,http://song.mvbox.cn/mv/99/90508999-4.mp4
这条街,http://song.mvbox.cn/mv/88/90573088-4.mp4
红尘情歌,http://song.mvbox.cn/mv/30/90580530-8.mp4
恋曲1990,http://song.mvbox.cn/mv/44/90504244-8.mp4
为爱痴狂,http://song.mvbox.cn/mv/85/90508585-6.mp4
后来,http://song.mvbox.cn/mv/85/90501185-10.mp4
当爱在靠近,http://song.mvbox.cn/mv/67/90510367-7.mp4
原来你也在这里,http://song.mvbox.cn/mv/26/90515426-7.mp4
龚玥-军中绿花,http://song.mvbox.cn/mv/36/90580536-4.mp4
龚玥-牧羊曲,http://song.mvbox.cn/mv/23/90939723-4.mp4
苏芮-牵手,http://song.mvbox.cn/mv/52/90501852-4.mp4
跟着感觉走,http://song.mvbox.cn/mv/52/90920652-2.mp4
捉泥鳅,http://song.mvbox.cn/mv/40/90505740-7.mp4
北国之春,http://song.mvbox.cn/mv/79/90506179-7.mp4
敢问路在何方,http://song.mvbox.cn/mv/17/90513117-4.mp4
周子寒-吻和泪,http://song.mvbox.cn/mv/93/90504993-7.mp4
九百九十九朵玫瑰,http://song.mvbox.cn/mv/42/90515742-4.mp4
千纸鹤,http://song.mvbox.cn/mv/66/90504566-4.mp4
找一个字代替,http://song.mvbox.cn/mv/88/90514088-3.mp4
一千零一夜,http://song.mvbox.cn/mv/73/90512373-2.mp4
晚秋,http://song.mvbox.cn/mv/22/90502322-8.mp4
星星点灯,http://song.mvbox.cn/mv/23/90509123-6.mp4
水手,http://song.mvbox.cn/mv/32/90502132-8.mp4
游戏人间,http://song.mvbox.cn/mv/26/90509426-6.mp4
缘,http://song.mvbox.cn/mv/71/90500271-1.mp4
追梦人,http://song.mvbox.cn/mv/35/90505735-8.mp4
青青河边草,http://song.mvbox.cn/mv/13/90511413-2.mp4
上海滩,http://song.mvbox.cn/mv/07/90518407-4.mp4
吻别,http://song.mvbox.cn/mv/70/90921870-7.mp4
情网,http://song.mvbox.cn/mv/15/90501915-7.mp4
祝福,http://song.mvbox.cn/mv/09/90503009-8.mp4
护花使者,http://song.mvbox.cn/mv/61/90519361-4.mp4
朋友的酒,http://song.mvbox.cn/mv/30/90582730-4.mp4
纤夫的爱,http://song.mvbox.cn/mv/18/90508918-2.mp4
卓依婷-夫妻双双把家还,http://song.mvbox.cn/mv/46/90514446-5.mp4
卓依婷-追求,http://song.mvbox.cn/mv/25/90503025-1.mp4
卓依婷-杜十娘,http://song.mvbox.cn/mv/19/90503719-6.mp4
卓依婷-潮湿的心,http://song.mvbox.cn/mv/86/90506386-7.mp4
卓依婷-长相依,http://song.mvbox.cn/mv/23/90503523-4.mp4
大海,http://song.mvbox.cn/mv/22/90500822-7.mp4
心雨,http://song.mvbox.cn/mv/92/90502592-9.mp4
明天更辉煌,http://song.mvbox.cn/mv/69/90511169-2.mp4
桃花运,http://song.mvbox.cn/mv/80/90504880-7.mp4

草蜢-失恋阵线联盟,http://vodcdn.video.taobao.com/oss/ali-video/bbae2fc164d9517913ed5a9117f8455b/video.m3u8
草蜢-忘情森巴舞,http://vodcdn.video.taobao.com/oss/ali-video/a30020a6cd9ce2a8b387e029f9c5365c/video.m3u8
草蜢-半点心,http://vodcdn.video.taobao.com/oss/ali-video/68fc953ff930412784dada5eb79d0821/1461058499/video.m3u8.m3u8
草蜢-宝贝对不起,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/RQdMfitGKCINh4BPzc9%40%40sd.m3u8
陈倩倩-婴儿,http://vodcdn.video.taobao.com/oss/ali-video/4fc8d043456c092c392483bd293d0ee3/video.m3u8
王菲-容易受伤的女人(粤语),http://vodcdn.video.taobao.com/oss/ali-video/ed5aed790e002b229c9a8870e900f985/video.m3u8
王菲-容易受伤的女人(国语),http://vodcdn.video.taobao.com/oss/ali-video/84722d96b62883dafdcc154afbf0bb03/video.m3u8
王菲-笑忘书,http://vodcdn.video.taobao.com/oss/taobao-ugc/fb7718e75857465eb179e83c8fc45464/1491461356/video.m3u8.m3u8
王菲-爱与痛的边缘,http://vodcdn.video.taobao.com/oss/ali-video/f5e79c70df75bdccf2714ed788764f58/video.m3u8
王菲-如风,http://vodcdn.video.taobao.com/oss/ali-video/f176658a3f974aecd5ce3df456092835/video.m3u8
王菲-执迷不悔,http://vodcdn.video.taobao.com/oss/ali-video/15bf7da88b44048edaabe73d6b17c00b/video.m3u8
陈慧娴-千千阙歌,http://vodcdn.video.taobao.com/oss/ali-video/8f45a35108ebe1b1951d2936007e3cd0/video.m3u8
陈慧娴-人生何处不相逢,http://vodcdn.video.taobao.com/oss/ali-video/e45ed62546d055938577994f0c16d2e0/video.m3u8
陈慧娴-归来吧,http://vodcdn.video.taobao.com/oss/ali-video/c89589fd5809cf6e2f1a4d7a52023733/video.m3u8
陈慧娴-孤单背影,http://vodcdn.video.taobao.com/oss/ali-video/092bc3fac8ea013544a1dda61de41e58/video.m3u8
陈慧娴-红茶馆,http://vodcdn.video.taobao.com/oss/ali-video/22ecb463b2e44875b1fa78090d0ffd4e/1460015776/video.m3u8.m3u8
陈慧娴-跳舞街,http://vodcdn.video.taobao.com/oss/ali-video/5e463c16339f3dd6839e6a7d2074915c/video.m3u8
陈慧娴-逝去的诺言,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/i78cWdjCSglPJaedL%40%40ld.m3u8
黄凯芹-伤感的恋人,http://vodcdn.video.taobao.com/oss/ali-video/71b50ed488178715c6144a55b11e8d03/video.m3u8
黄凯芹-雨中的恋人们,http://vodcdn.video.taobao.com/oss/ali-video/75a2bc3f02719748be65b567afb8e0de/video.m3u8
黄凯芹-相爱很难,http://vodcdn.video.taobao.com/oss/ali-video/11b6273898b6a1b1da34e646264cd036/video.m3u8
梁朝伟-一天一天爱恋,http://vodcdn.video.taobao.com/oss/ali-video/d8c74bd184d05f8cf1cbd4bbd7307f79/video.m3u8
巫启贤-只因你伤心,http://vodcdn.video.taobao.com/oss/ali-video/c28acbe36530da595b04161855bba004/video.m3u8
巫启贤-太傻,http://vodcdn.video.taobao.com/oss/ali-video/e6f2953419f904065dc2ce38efc85515/video.m3u8
彭佳慧-无法割舍,http://vodcdn.video.taobao.com/oss/ali-video/8be8f7d28d4f2c7ce759d431f0d3181b/video.m3u8
彭佳慧-回味,http://vodcdn.video.taobao.com/oss/ali-video/6801f707771eacdb5264f8bb20e4d599/video.m3u8
叶倩文-潇洒走一回,http://vodcdn.video.taobao.com/oss/ali-video/371d75312720e701b5f3988d46cdf4ef/video.m3u8
叶倩文-伤逝,http://vodcdn.video.taobao.com/oss/ali-video/9f6ad7cd057bc2cf21d1c5a6cc57eed7/video.m3u8
叶倩文-曾经心痛,http://vodcdn.video.taobao.com/oss/ali-video/0ea34400f2502a94ee14aea506e0042b/video.m3u8
叶倩文-我的爱对你说,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/7xXG24i7EbZtCTOtSnh%40%40sd.m3u8
张智霖-片片枫叶情,http://vodcdn.video.taobao.com/oss/ali-video/1d02cf8794a542c930fbf210c0a4e3e7/video.m3u8
张智霖-现代爱情故事,http://vodcdn.video.taobao.com/oss/ali-video/864b1ca28cb8b566e2989775ae737de7/video.m3u8
毛宁-晚秋,http://vodcdn.video.taobao.com/oss/ali-video/95751adaad64e6ca860b18f4855cd94d/video.m3u8
毛宁-蓝蓝的夜蓝蓝的梦,http://vodcdn.video.taobao.com/oss/ali-video/6d5a8c2e7667e3d6138246a45571d1f7/video.m3u8
毛宁/杨钰莹-心雨,http://vodcdn.video.taobao.com/oss/ali-video/0191a1eb6017684a3641a51d32c9633a/video.m3u8
杨钰莹-轻轻告诉你,http://vodcdn.video.taobao.com/oss/ali-video/1905c60363f40cea52f342ec59132da0/video.m3u8
杨钰莹-我不想说,http://vodcdn.video.taobao.com/oss/ali-video/cc97a07de2cac88c025590ef874253fc/video.m3u8
杨钰莹-等你一万年,http://vodcdn.video.taobao.com/oss/ali-video/e1e0b88e5c6d40d7176f353d41aac985/video.m3u8
杨钰莹-红彤彤的春天,http://vodcdn.video.taobao.com/oss/ali-video/31fcc5242ffc9a00a5a62d89b21c0bea/video.m3u8
